Station_Name,Latitude,Longitude,State,Town,Power_kW
Tata Power Charging Station,22.2869608,86.7909833,Odisha,,25.0
Hindustan Petroleum Corporation Limited Charging Station,22.4497441,86.59494370000002,Odisha,,30.0
Hindustan Petroleum Corporation Limited,22.4498584,86.5950411,Odisha,,0.0
Jio-bp,22.140249999999998,85.71265,Odisha,,7.4
Jio-bp,22.0015401,85.3279801,Odisha,,7.4
Ather Grid Charging Station,22.243665999999997,84.827354,Odisha,,1.100000023841858
Ather Grid Charging Station,22.23666,84.77015,Odisha,,1.100000023841858
Ather Grid Charging Station,22.226704599999998,84.8641165,Odisha,,1.100000023841858
Tata Power Charging Station,22.2268099,84.79603639999999,Odisha,,25.0
Ather Charging Station,22.2278125,84.81838739999999,Odisha,,1.100000023841858
Ather charging station,22.1040381,84.0375432,Odisha,,1.1
Jio-bp,22.1100379,83.99531890000002,Odisha,,7.4
Ather Grid Charging Station,22.105083,84.03789499999999,Odisha,,1.100000023841858
Tata Power Charging Station,21.762953,87.010724,Odisha,,3.299999952316284
Ather Grid Charging Station,21.940046,86.74460599999999,Odisha,,1.1
WARIVO ELECTRIC SCOOTER SHOWROOM -PREMJIT MOTORS BARIPADA,21.9265285,86.7319555,Odisha,,0.0
Ather Grid Charging Station,21.909101,86.751335,Odisha,,1.100000023841858
Electric Vehicle Charging Station,21.8057616,85.9951672,Odisha,,0.0
Ather Grid Charging Station,21.852719999999998,83.99909,Odisha,,1.100000023841858
Tata Power Charging Station,21.86703,83.966208,Odisha,,25.0
Ather Grid Charging Station,21.917408,83.38266,Odisha,,1.100000023841858
Tata Power Charging Station,21.920673999999998,83.37071399999999,Odisha,,25.0
BPCL Charging Station,21.872868999999998,83.38834899999999,Odisha,,30.0
Ankush Vehicles,21.8485001,82.7791088,Odisha,,0.0
CharjKaro Charging Station,21.8069144,82.75252929999999,Odisha,,60.0
BPCL Charging Station,21.864104299999997,82.4621088,Odisha,,30.0
Electric Vehicle Charging Station,21.8833782,82.1504942,Odisha,,0.0
BPCL Charging Station,21.734158,81.535732,Odisha,,30.0
Jio-bp pulse Charging Station,21.592751,87.02058799999999,Odisha,,7.4
Jio-bp pulse Charging Station,21.5926108,87.0205579,Odisha,,7.4
Electric Vehicle Charging Station,21.593016600000002,87.02072849999999,Odisha,,0.0
Ather Grid Charging Station,21.481623,86.9069,Odisha,,1.100000023841858
Ather Charging Station,21.49872,86.93108,Odisha,,1.100000023841858
